 |14|山西省|省|
142323004|142323004009|席麻村|村|
142323004|142323004010|树则村|村|
142323004|142323004011|逯沟村|村|
142323004|142323004012|牛头咀|村|
142323004|142323004013|西冶村|村|
142323004|142323004014|东孟村|村|
142323004|142323004017|西孟村|村|
142323004|142323004021|陈台村|村|
142323004|142323004022|榆林村|村|
142323004|142323004024|水峪贯村|村|
142323004|142323004027|青沿村|村|
142323004|142323004029|长树村|村|
142323004|142323004031|鲁沿村|村|
142323004|142323004038|大足底村|村|
142323004|142323004039|大游底村|村|
142323005|142323005001|野则河村|村|
142323005|142323005002|米家庄村|村|
142323005|142323005003|西社2|村|
142323005|142323005004|横岭村|村|
142323005|142323005005|西社3|村|
142323005|142323005006|沙沟村|村|
142323005|142323005007|大岩头村|村|
142323005|142323005008|西社村|村|
142323005|142323005009|东社村|村|
142323005|142323005010|南沟村|村|
142323005|142323005011|阳湾村|村|
142323005|142323005012|塔上村|村|
142323005|142323005013|曲里村|村|
142323005|142323005014|南堡村|村|
142323006|142323006001|裴家山村|村|
142323006|142323006002|范家庄村|村|
142323006|142323006003|洪相村|村|
142323006|142323006004|舍堂村|村|
142323006|142323006005|安定村|村|
142323006|142323006006|成村村|村|
142323006|142323006007|广兴村|村|
142323006|142323006008|广兴2|村|
142323007|142323007001|山怀村|村|
142323007|142323007002|上庄头村|村|
142323007|142323007003|圪垛村|村|
142323007|142323007004|东坡村|村|
142323007|142323007005|寨上村|村|
142323007|142323007006|塔梭村|村|
142323007|142323007007|窑儿头村|村|
142323007|142323007008|光足村|村|
142323007|142323007009|峁底村|村|
142323007|142323007010|横头村|村|
142323007|142323007011|歇马头村|村|
142323007|142323007012|前庄村|村|
142323007|142323007013|山庄头村|村|
142323007|142323007014|马庄村|村|
142323007|142323007015|石家庄村|村|
142323007|142323007016|东雷庄村|村|
142323007|142323007017|峁上村|村|
142323007|142323007018|窑底村|村|
142323007|142323007019|后火山村|村|
142323007|142323007020|申家圪垛村|村|
142323007|142323007021|岭底村|村|
142323007|142323007022|圪洞村|村|
142323007|142323007023|前火山村|村|
142323008|142323008001|覃村村|村|
142323008|142323008002|王村村|村|
142323008|142323008003|夏家营村|村|
142323008|142323008004|义望村|村|
142323008|142323008005|王明寨村|村|
142323008|142323008006|连家寨村|村|
142323008|142323008007|郑村村|村|
142323008|142323008008|段村村|村|
142323008|142323008009|郭家寨村|村|
142323008|142323008010|贺家寨村|村|
142323008|142323008011|王家寨村|村|
142323008|142323008012|温家寨村|村|
142323008|142323008013|贾家寨村|村|
142323008|142323008014|大辛村|村|
142323008|142323008015|辛南村|村|
142323008|142323008016|小辛村|村|
142323009|142323009001|南街2村|村|
142323009|142323009002|田家山村|村|
142323009|142323009003|坡底村|村|
142323009|142323009004|磁窑村|村|
142323009|142323009005|三角村|村|
142323009|142323009006|奈林村|村|
142323009|142323009007|瓦窑村|村|
142323009|142323009008|西街村|村|
142323009|142323009009|东街村|村|
142323009|142323009010|北关村|村|
142323009|142323009011|蒲渠河村|村|
142323009|142323009012|南街村|村|
142323009|142323009013|东关村|村|
142323009|142323009014|下关村|村|
142323009|142323009015|阳渠村|村|
142323009|142323009016|梁家庄村|村|
142323009|142323009017|青村村|村|
142323009|142323009018|杜家庄村|村|
142323009|142323009019|西汾阳村|村|
142323009|142323009020|东汾阳村|村|
142323010|142323010001|大营村|村|
142323010|142323010002|大陵庄村|村|
142323010|142323010003|城头村|村|
142323010|142323010004|石侯村|村|
142323010|142323010005|寨子村|村|
142323010|142323010006|西营村|村|
142323010|142323010007|东营村|村|
142333001|142333001001|阎家山|村|
142333001|142333001002|前务城|村|
142333001|142333001003|响义|村|
142333001|142333001004|石岭后|村|
142333001|142333001005|古桑园|村|
142333001|142333001006|白兑庄|村|
142333001|142333001007|曹家社|村|
142333001|142333001008|庞家洼|村|
142333001|142333001009|郭家掌|村|
142333001|142333001010|樊家沿|村|
142333001|142333001011|城北沟|村|
142333001|142333001012|杏泉|村|
142333002|142333002001|西交子|村|
142333002|142333002002|西宋庄|村|
142333002|142333002003|大麦郊|村|
142333002|142333002004|红焰|村|
142333002|142333002005|冯家港|村|
142333002|142333002006|桃红坡|村|
142333002|142333002007|高家条|村|
142333002|142333002008|齐家庄|村|
142333002|142333002009|元沟|村|
142333002|142333002010|吉子沟|村|
142333003|142333003001|广武庄|村|
