 |14|山西省| |省| |SHENG| |101|0|2
142303002|142303002018|永安| |村| |CUN| |105|0|12
142303002|142303002019|官道| |村| |CUN| |105|0|12
142303002|142303002020|杜村| |村| |CUN| |105|0|12
142303003|142303003001|仁岩| |村| |CUN| |105|0|12
142303003|142303003002|艾子| |村| |CUN| |105|0|12
142303003|142303003003|冀村| |村| |CUN| |105|0|12
142303003|142303003004|东马寨| |村| |CUN| |105|0|12
142303003|142303003005|东河头| |村| |CUN| |105|0|12
142303003|142303003006|南浦| |村| |CUN| |105|0|12
142303003|142303003007|唐兴| |村| |CUN| |105|0|12
142303003|142303003008|古贤庄| |村| |CUN| |105|0|12
142303003|142303003009|大会头| |村| |CUN| |105|0|12
142303003|142303003010|东陈家庄| |村| |CUN| |105|0|12
142303003|142303003011|城子| |村| |CUN| |105|0|12
142303003|142303003012|东遥庄| |村| |CUN| |105|0|12
142303003|142303003013|普提庄| |村| |CUN| |105|0|12
142303003|142303003014|西九枝| |村| |CUN| |105|0|12
142303003|142303003015|东宋家庄| |村| |CUN| |105|0|12
142303003|142303003016|东九枝| |村| |CUN| |105|0|12
142303003|142303003017|李家庄| |村| |CUN| |105|0|12
142303003|142303003018|东社| |村| |CUN| |105|0|12
142303003|142303003019|富家庄| |村| |CUN| |105|0|12
142303004|142303004001|谷雨墕| |村| |CUN| |105|0|12
142303004|142303004002|三合庄| |村| |CUN| |105|0|12
142303004|142303004003|原家社| |村| |CUN| |105|0|12
142303004|142303004004|菽禾村| |村| |CUN| |105|0|12
142303004|142303004005|李家庄| |村| |CUN| |105|0|12
142303004|142303004006|西庄| |村| |CUN| |105|0|12
142303004|142303004007|胡家社| |村| |CUN| |105|0|12
142303004|142303004008|西武堡| |村| |CUN| |105|0|12
142303004|142303004009|东武堡| |村| |CUN| |105|0|12
142303004|142303004010|南广城| |村| |CUN| |105|0|12
142303004|142303004011|北广城| |村| |CUN| |105|0|12
142303004|142303004012|东村| |村| |CUN| |105|0|12
142303004|142303004013|下庄| |村| |CUN| |105|0|12
142303004|142303004014|石庄| |村| |CUN| |105|0|12
142303004|142303004015|曹家庄| |村| |CUN| |105|0|12
142303004|142303004017|张家庄| |村| |CUN| |105|0|12
142303004|142303004018|阳泉| |村| |CUN| |105|0|12
142303004|142303004019|后杨寨| |村| |CUN| |105|0|12
142303004|142303004020|前杨寨| |村| |CUN| |105|0|12
142303005|142303005001|王家池| |村| |CUN| |105|0|12
142303005|142303005002|舍科| |村| |CUN| |105|0|12
142303005|142303005003|康家山| |村| |CUN| |105|0|12
142303005|142303005004|色头| |村| |CUN| |105|0|12
142303005|142303005005|田家庄| |村| |CUN| |105|0|12
142303005|142303005006|冯家墕| |村| |CUN| |105|0|12
142303005|142303005007|南泉头| |村| |CUN| |105|0|12
142303005|142303005008|谷丰| |村| |CUN| |105|0|12
142303005|142303005009|裴家庄| |村| |CUN| |105|0|12
142303005|142303005010|紫家墕| |村| |CUN| |105|0|12
142303005|142303005011|南垣活| |村| |CUN| |105|0|12
142303005|142303005012|芦王庄| |村| |CUN| |105|0|12
142303005|142303005013|邓家坪| |村| |CUN| |105|0|12
